Model_Name,MaskingRate,RandomSeed,loss,alpha
Multi-Modal Steamboat (NOISE),0.2,1,0.052746593952178955,1.5234853477049595e-09
Multi-Modal Steamboat (NOISE),0.2,2,0.0566709041595459,1.0821192833467417e-20
Single-Modal Steamboat (ST),1.0,1,0.10183935612440109,0.5056875348091125
Single-Modal Steamboat (ST),0.8,1,0.1018393486738205,0.9995243067588394
Single-Modal Steamboat (ST),0.9,0,0.1018393486738205,0.9969265613836246
Single-Modal Steamboat (ST),1.0,0,0.10183935612440109,0.5067461133003235
Single-Modal Steamboat (ST),0.7,0,0.1018393486738205,0.9996998368634189
Single-Modal Steamboat (ST),0.9,1,0.10183935612440109,0.9970246943224622
Single-Modal Steamboat (ST),1.0,2,0.10183935612440109,0.5020790100097656
Single-Modal Steamboat (ST),0.7,1,0.1018393486738205,0.9997850581726436
Single-Modal Steamboat (ST),0.6,0,0.1018393486738205,0.9998701560635603
Single-Modal Steamboat (ST),0.6,1,0.1018393486738205,0.999838391646995
Single-Modal Steamboat (ST),0.5,0,0.10183935612440109,0.9998311058436664
Single-Modal Steamboat (ST),0.7,2,0.10183935612440109,0.9998441239045514
Single-Modal Steamboat (ST),0.5,1,0.10183935612440109,0.9998614414801064
Single-Modal Steamboat (ST),0.4,1,0.10183935612440109,0.9998921546186055
Single-Modal Steamboat (ST),0.4,0,0.10183935612440109,0.9999000186142559
Single-Modal Steamboat (ST),0.4,2,0.1018393486738205,0.9998989576321425
Single-Modal Steamboat (ST),0.3,1,0.10183935612440109,0.9998695713826888
Single-Modal Steamboat (ST),0.2,1,0.1018393486738205,0.9999158207639136
Single-Modal Steamboat (ST),0.3,2,0.10183935612440109,0.9999144413569612
Single-Modal Steamboat (ST),0.2,2,0.1018393486738205,0.9999071846959665
Single-Modal Steamboat (ST),0.1,1,0.10181884467601776,0.9996766226842254
Single-Modal Steamboat (ST),0.1,2,0.1018393486738205,0.9999145965802011
Single-Modal Steamboat (ST),0.0,1,0.10183935612440109,0.9999181057919863
Single-Modal Steamboat (ST),0.0,2,0.10183935612440109,0.9999134966762254
Single-Modal Steamboat (ST),0.9,2,0.06332128494977951,0.7605838838966926
Single-Modal Steamboat (ST),0.6,2,0.057875119149684906,0.0001647760490199209
Single-Modal Steamboat (ST),0.1,0,0.06562499701976776,0.010303709515415548
Single-Modal Steamboat (ST),0.0,0,0.05339105427265167,0.9910394480644212
Single-Modal Steamboat (ST),0.5,2,0.05891002342104912,0.6820895195747961
Single-Modal Steamboat (ST),0.3,0,0.06031426042318344,0.9609839798591854
Single-Modal Steamboat (ST),0.8,2,0.05849359557032585,0.43079412541455725
Single-Modal Steamboat (ST),0.2,0,0.05472341924905777,0.9808309979230492
Single-Modal Steamboat (ST),0.8,0,0.05757336691021919,0.9785696709410596
