Model_Name,MaskingRate,run_id,loss,alpha
Multi-Modal GNN (UNI),1.0,1,0.056125134229660034,0.6246795997785707
Multi-Modal GNN (UNI),0.9,0,0.054371535778045654,0.7227979772453467
Multi-Modal GNN (UNI),1.0,2,0.05404460430145264,0.7026552283327085
Multi-Modal GNN (UNI),1.0,0,0.054934315383434296,0.7133917279796596
Multi-Modal GNN (UNI),0.9,1,0.053104836493730545,0.7626518010786497
Multi-Modal GNN (UNI),0.9,2,0.05387473478913307,0.7661137931415544
Multi-Modal GNN (UNI),0.8,0,0.0494229756295681,0.6714918930172852
Multi-Modal GNN (UNI),0.8,2,0.05081106722354889,0.6485367048574642
Multi-Modal GNN (UNI),0.7,2,0.10185142606496811,0.13251293389984933
Multi-Modal GNN (UNI),0.8,1,0.0489354282617569,0.6473694001945647
Multi-Modal GNN (UNI),0.7,0,0.047810979187488556,0.5635961541974138
Multi-Modal GNN (UNI),0.7,1,0.048140354454517365,0.47130881182225154
Multi-Modal GNN (UNI),0.6,0,0.047316282987594604,0.4768877600277093
Multi-Modal GNN (UNI),0.5,0,0.04696299135684967,0.39451804534495966
Multi-Modal GNN (UNI),0.6,1,0.04731970652937889,0.41898001667645257
Multi-Modal GNN (UNI),0.6,2,0.04784465953707695,0.4684938049640928
Multi-Modal GNN (UNI),0.5,1,0.047072991728782654,0.3404047843316216
Multi-Modal GNN (UNI),0.5,2,0.049000468105077744,0.011888944159972423
Multi-Modal GNN (UNI),0.4,2,0.046835143119096756,0.2524203007445104
Multi-Modal GNN (UNI),0.4,0,0.04628375545144081,0.37323911132144805
Multi-Modal GNN (UNI),0.4,1,0.046745721250772476,0.28977892312934306
Multi-Modal GNN (UNI),0.3,0,0.04590972140431404,0.29631083262122054
Multi-Modal GNN (UNI),0.3,1,0.046732474118471146,0.04328713441916932
Multi-Modal GNN (UNI),0.2,0,0.04539197310805321,0.1950266993962148
Multi-Modal GNN (UNI),0.3,2,0.046714410185813904,2.3398150329666767e-05
Multi-Modal GNN (UNI),0.2,1,0.0456174872815609,0.0009988358123596136
Multi-Modal GNN (UNI),0.1,2,0.10185163468122482,0.03278052088987098
Multi-Modal GNN (UNI),0.2,2,0.045668356120586395,0.07673714044787917
Multi-Modal GNN (UNI),0.1,0,0.04445486143231392,0.13668085594316767
Multi-Modal GNN (UNI),0.0,0,0.04334522783756256,0.05128594506907369
Multi-Modal GNN (UNI),0.1,1,0.044434886425733566,7.873479339406559e-06
Multi-Modal GNN (UNI),0.0,1,0.0433412604033947,7.799573072839982e-06
Multi-Modal GNN (UNI),0.0,2,0.04301181808114052,6.8284358525185415e-06
Multi-Modal GNN (NOISE),1.0,2,0.10093242675065994,0.021308280140328737
Multi-Modal GNN (NOISE),0.9,1,0.05156959593296051,0.9754494684430873
Multi-Modal GNN (NOISE),1.0,0,0.05216215178370476,0.6588942538260165
Multi-Modal GNN (NOISE),0.9,0,0.04980074614286423,0.9914902486899537
Multi-Modal GNN (NOISE),0.9,2,0.1018521636724472,0.9945950302705123
Multi-Modal GNN (NOISE),0.7,0,0.05840097740292549,0.415418481891926
Multi-Modal GNN (NOISE),0.8,0,0.04982249066233635,0.9229557191199697
Multi-Modal GNN (NOISE),1.0,1,0.04808799549937248,0.8684559664696744
Multi-Modal GNN (NOISE),0.8,2,0.1018514409661293,0.07535985222634521
Multi-Modal GNN (NOISE),0.6,1,0.054196760058403015,0.3354430170635847
Multi-Modal GNN (NOISE),0.7,2,0.10185142606496811,0.9937650773727263
Multi-Modal GNN (NOISE),0.8,1,0.04731563851237297,0.8987642136175498
Multi-Modal GNN (NOISE),0.7,1,0.04725854471325874,0.8474567477524213
Multi-Modal GNN (NOISE),0.6,0,0.047477006912231445,0.7988222329209854
Multi-Modal GNN (NOISE),0.6,2,0.10185202211141586,0.997568184080073
Multi-Modal GNN (NOISE),0.5,2,0.10185225307941437,0.7529677614106635
Multi-Modal GNN (NOISE),0.5,0,0.04738972708582878,0.7674241258007803
Multi-Modal GNN (NOISE),0.5,1,0.046320512890815735,0.7410723382599053
Multi-Modal GNN (NOISE),0.4,0,0.048055365681648254,0.7139257284528882
Multi-Modal GNN (NOISE),0.4,2,0.10185204446315765,0.243979740630006
Multi-Modal GNN (NOISE),0.4,1,0.04534183070063591,0.6970920754848421
Multi-Modal GNN (NOISE),0.3,2,0.10185224562883377,0.9164958082570797
Multi-Modal GNN (NOISE),0.3,0,0.047630660235881805,0.7005614628044243
Multi-Modal GNN (NOISE),0.2,0,0.04562639072537422,0.6022843550705814
Multi-Modal GNN (NOISE),0.3,1,0.04524531587958336,0.7004652788074073
Multi-Modal GNN (NOISE),0.2,2,0.10185199230909348,0.9710386488088666
Multi-Modal GNN (NOISE),0.1,2,0.10185198485851288,0.01619256941718895
Multi-Modal GNN (NOISE),0.2,1,0.04560669884085655,2.16687314920047e-06
Multi-Modal GNN (NOISE),0.1,0,0.045390062034130096,0.5607046304660444
Multi-Modal GNN (NOISE),0.0,2,0.10185187309980392,0.15495929741294082
Multi-Modal GNN (NOISE),0.1,1,0.04453607648611069,1.2795727082111986e-05
Multi-Modal GNN (NOISE),0.0,0,0.04343755170702934,0.18594596574377584
Multi-Modal GNN (NOISE),0.0,1,0.043863072991371155,1.0897458759118412e-05
Single-Modal GNN (ST),1.0,2,0.10183935612440109,0.4936741590499878
Single-Modal GNN (ST),1.0,1,0.10183935612440109,0.4946536719799042
Single-Modal GNN (ST),1.0,0,0.10183935612440109,0.49730968475341797
Single-Modal GNN (ST),0.9,0,0.05886092036962509,0.48893256943821556
Single-Modal GNN (ST),0.9,2,0.05875091254711151,0.5804763596578107
Single-Modal GNN (ST),0.9,1,0.05835680663585663,0.5095120478564333
Single-Modal GNN (ST),0.8,0,0.054035287350416183,0.4750676198822231
Single-Modal GNN (ST),0.8,1,0.05400852486491203,0.43361121890762294
