Model_Name,MaskingRate,run_id,loss,alpha
Multi-Modal GNN (UNI),1.0,1,0.08106603473424911,0.964897627466689
Multi-Modal GNN (UNI),1.0,0,0.08137083798646927,0.983608783428716
Multi-Modal GNN (UNI),0.9,0,0.08080967515707016,0.9510537888119365
Multi-Modal GNN (UNI),1.0,2,0.08252004534006119,0.9785836612216223
Multi-Modal GNN (UNI),0.9,1,0.07923583686351776,0.9535730318579633
Multi-Modal GNN (UNI),0.9,2,0.0799078494310379,0.960419748682475
Multi-Modal GNN (UNI),0.8,0,0.07949138432741165,0.7541886607467656
Multi-Modal GNN (UNI),0.8,1,0.07819186896085739,0.8236431972228039
Multi-Modal GNN (UNI),0.8,2,0.07891570031642914,0.8297282256270854
Multi-Modal GNN (UNI),0.7,0,0.07649122178554535,0.6028640540589678
Multi-Modal GNN (UNI),0.7,1,0.07522689551115036,0.6629961245704548
Multi-Modal GNN (UNI),0.7,2,0.07747567445039749,0.6831493042751672
Multi-Modal GNN (UNI),0.6,0,0.076243557035923,0.47297328390170007
Multi-Modal GNN (UNI),0.6,1,0.07434467226266861,0.5244279942701626
Multi-Modal GNN (UNI),0.6,2,0.07520005106925964,0.5364267290402261
Multi-Modal GNN (UNI),0.5,0,0.074662946164608,0.40061130262245215
Multi-Modal GNN (UNI),0.5,1,0.0758424624800682,0.3535018285156107
Multi-Modal GNN (UNI),0.5,2,0.07399759441614151,0.42119096398780936
Multi-Modal GNN (UNI),0.4,0,0.07299821823835373,0.2933667056069157
Multi-Modal GNN (UNI),0.4,1,0.07591886818408966,0.262898218360796
Multi-Modal GNN (UNI),0.4,2,0.07216683775186539,0.32679056870089535
Multi-Modal GNN (UNI),0.3,0,0.07070671766996384,0.22307890627180385
Multi-Modal GNN (UNI),0.3,1,0.07652679085731506,0.00847219323362556
Multi-Modal GNN (UNI),0.3,2,0.06962011754512787,0.2682948012823025
Multi-Modal GNN (UNI),0.2,0,0.06832961738109589,0.17307700228371461
Multi-Modal GNN (UNI),0.2,1,0.0715252012014389,4.807892518004486e-05
Multi-Modal GNN (UNI),0.2,2,0.06685863435268402,0.23921578961556444
Multi-Modal GNN (UNI),0.1,0,0.06698308885097504,0.003484472575713019
Multi-Modal GNN (UNI),0.1,1,0.07153280824422836,1.95127689579227e-05
Multi-Modal GNN (UNI),0.1,2,0.06559611856937408,0.15354350378688228
Multi-Modal GNN (UNI),0.0,0,0.059638820588588715,0.006537194325675655
Multi-Modal GNN (UNI),0.0,1,0.06408220282779193,1.11928092772823e-05
Multi-Modal GNN (UNI),0.0,2,0.05793875186254282,0.02928616482591854
Single-Modal GNN (ST),1.0,1,0.18324966728687286,0.49413198232650757
Single-Modal GNN (ST),1.0,0,0.18324966728687286,0.5064111948013306
Single-Modal GNN (ST),1.0,2,0.18324966728687286,0.4930436909198761
Single-Modal GNN (ST),0.9,0,0.113745778799057,0.6423518039336761
Single-Modal GNN (ST),0.9,1,0.1136372983455658,0.6497507718068324
Single-Modal GNN (ST),0.8,0,0.10400721430778503,0.5381052409658302
Single-Modal GNN (ST),0.9,2,0.1136559322476387,0.6198821509041808
Single-Modal GNN (ST),0.8,1,0.10397806018590927,0.5240060218306459
Single-Modal GNN (ST),0.8,2,0.10273706167936325,0.47578689136594227
Single-Modal GNN (ST),0.7,0,0.09643726050853729,0.4341354463951517
Single-Modal GNN (ST),0.7,1,0.09660817682743073,0.5066062472919654
Single-Modal GNN (ST),0.7,2,0.09664841741323471,0.33717490687836676
Single-Modal GNN (ST),0.6,0,0.09104817360639572,0.36105689802903684
Single-Modal GNN (ST),0.6,1,0.09128010272979736,0.4713033923452738
Single-Modal GNN (ST),0.6,2,0.09158838540315628,0.27382516515547706
Single-Modal GNN (ST),0.5,0,0.08645360916852951,0.2933556784200596
Single-Modal GNN (ST),0.5,1,0.08662452548742294,0.3455668132514603
Single-Modal GNN (ST),0.5,2,0.08650889992713928,0.3598920277966967
Single-Modal GNN (ST),0.4,0,0.08160291612148285,0.24304009552399802
Single-Modal GNN (ST),0.4,1,0.08143723756074905,0.26233266936898203
Single-Modal GNN (ST),0.4,2,0.08153656125068665,0.3347712227200521
Single-Modal GNN (ST),0.3,0,0.0764329582452774,0.1879654265205256
Single-Modal GNN (ST),0.3,1,0.07664581388235092,0.05529489754651433
Single-Modal GNN (ST),0.3,2,0.07682721316814423,0.2643935273676873
Single-Modal GNN (ST),0.2,0,0.0715538039803505,0.10057614537594078
Single-Modal GNN (ST),0.2,1,0.07130434364080429,0.029422609247893243
Single-Modal GNN (ST),0.2,2,0.07156097143888474,0.1824563594508127
Single-Modal GNN (ST),0.1,0,0.06636887043714523,0.025227646345154373
Single-Modal GNN (ST),0.1,1,0.06578710675239563,0.015179729941048761
Single-Modal GNN (ST),0.1,2,0.06606220453977585,0.14817875659204055
Single-Modal GNN (ST),0.0,0,0.058096565306186676,0.014782614702912013
Single-Modal GNN (ST),0.0,1,0.058195967227220535,0.019073360604272758
Single-Modal GNN (ST),0.0,2,0.05850566178560257,0.09217988505985267
